WKT,name,description
"POLYGON ((-85.951901 39.638366, -85.95301 39.869555, -85.938041 39.869914, -85.937466 39.927105, -86.241659 39.925895, -86.270533 39.925024, -86.326166 39.924029, -86.325728 39.866061, -86.328257 39.86632, -86.326502 39.632006, -85.951901 39.638366))",YL Indianapolis,
"POLYGON ((-75.19123 39.998456, -75.124925 39.989875, -75.11479 39.976456, -75.081164 39.98019, -75.060879 40.000643, -75.044528 40.013682, -75.057548 40.028404, -75.097562 40.050437, -75.1413 40.053825, -75.171295 40.020132, -75.183765 40.010714, -75.191738 40.007971, -75.19123 39.998456))",Philadelphia,
"POLYGON ((-93.012738 44.883322, -93.025366 45.014437, -93.079612 45.01134, -93.190394 45.011217, -93.209437 45.000682, -93.199508 44.950087, -93.198839 44.912168, -93.183969 44.894544, -93.147946 44.886017, -93.076641 44.87379, -93.012738 44.883322))",St. Paul Capital City,
"POLYGON ((-73.943361 40.783518, -73.928206 40.797416, -73.933581 40.81398, -73.935538 40.835204, -73.931579 40.843422, -73.909226 40.871995, -73.915401 40.87445, -73.927458 40.871799, -73.970255 40.805713, -73.957833 40.800239, -73.948516 40.797178, -73.954987 40.788573, -73.943361 40.783518))",New York City Uptown,
"POLYGON ((-73.913031 40.795368, -73.900253 40.80441, -73.880575 40.801397, -73.872324 40.798642, -73.868232 40.806643, -73.845303 40.803494, -73.797141 40.816622, -73.780777 40.836635, -73.795464 40.884135, -73.912136 40.91593, -73.924549 40.878571, -73.906657 40.872227, -73.93211 40.837468, -73.93219 40.821027, -73.930325 40.806176, -73.913031 40.795368))",Bronx,
"POLYGON ((-117.742293 47.500324, -117.532646 47.452438, -117.361032 47.58967, -117.138103 47.592413, -117.123223 47.664915, -117.143162 47.721014, -117.284014 47.740817, -117.266633 47.843827, -117.439759 47.995338, -117.548117 47.983697, -117.5247 47.912357, -117.478498 47.838465, -117.536079 47.778457, -117.783164 47.641724, -117.742293 47.500324))",Spokane,
"POLYGON ((-77.009035 38.890375, -77.005795 38.926898, -76.999209 38.963242, -77.040814 38.995736, -77.119014 38.93519, -77.096416 38.90995, -77.061901 38.889616, -77.009035 38.890375))",NW Washington D.C.,
"POLYGON ((-77.006202 38.817312, -76.988857 38.830846, -76.910081 38.892462, -77.009151 38.890414, -77.008845 38.876314, -77.001772 38.865273, -77.005985 38.853393, -77.007304 38.847973, -77.007368 38.842196, -77.007702 38.829689, -77.006202 38.817312))",Southeast Washington D.C.,
"POLYGON ((-94.249037 45.637613, -95.03283 45.279069, -95.120193 44.760571, -95.15281 44.494225, -94.467636 44.287448, -93.217439 44.252412, -92.913181 44.45759, -92.423538 44.749521, -92.139073 45.644631, -94.249037 45.637613))",Rural MSP - Bethel,
"POLYGON ((-93.751038 45.238515, -93.766972 45.15097, -93.681035 45.153185, -93.77014 45.016297, -93.770129 44.915283, -93.665748 44.776021, -93.542403 44.773588, -93.479439 44.706038, -93.333826 44.739241, -93.249306 44.626464, -92.861708 44.763207, -92.774594 45.045664, -92.952324 45.312181, -93.56906 45.312454, -93.751038 45.238515))",Suburban MSP - Bethel,
"POLYGON ((-93.310348 44.994233, -93.292632 44.953844, -93.327217 44.89755, -93.201604 44.902384, -93.183275 44.897565, -93.08282 44.87677, -93.037306 44.880537, -93.025478 44.959413, -93.030048 45.009932, -93.117198 44.995145, -93.209013 45.002903, -93.213757 45.032723, -93.287256 45.033201, -93.310348 44.994233))",Urban MSP - Bethel,
